,title,id,downloadUrl,DateRun
0,Lead_Scoring_12162020.csv,1PvTylaZMLHKqrPPZpoxYcdC1ET_My2rF,https://www.googleapis.com/drive/v2/files/1PvTylaZMLHKqrPPZpoxYcdC1ET_My2rF?alt=media&source=downloadUrl,2020-12-16
50,Lead_Scoring_12172020.csv,1VJQH8rIf-GBhkcw3y1-gzIQrs7Re1Nfb,https://www.googleapis.com/drive/v2/files/1VJQH8rIf-GBhkcw3y1-gzIQrs7Re1Nfb?alt=media&source=downloadUrl,2020-12-17
49,Lead_Scoring_01112021.csv,1wcwOVZFJfwkRrqkdjYmNjcibwCWngwR5,https://www.googleapis.com/drive/v2/files/1wcwOVZFJfwkRrqkdjYmNjcibwCWngwR5?alt=media&source=downloadUrl,2021-01-11
48,Lead_Scoring_01182021.csv,1ZDmfiqmzhJZk_RMKoVy8g7GwQG0GunKm,https://www.googleapis.com/drive/v2/files/1ZDmfiqmzhJZk_RMKoVy8g7GwQG0GunKm?alt=media&source=downloadUrl,2021-01-18
47,Lead_Scoring_01252021.csv,1NgEEdPgdNwhXt7mxvfKebaUSeIa3SnM2,https://www.googleapis.com/drive/v2/files/1NgEEdPgdNwhXt7mxvfKebaUSeIa3SnM2?alt=media&source=downloadUrl,2021-01-25
46,Lead_Scoring_02082021.csv,1vZD27iYgKi_tkAiqEKh_DdNY0dyqE1Kx,https://www.googleapis.com/drive/v2/files/1vZD27iYgKi_tkAiqEKh_DdNY0dyqE1Kx?alt=media&source=downloadUrl,2021-02-08
45,Lead_Scoring_02152021.csv,13cnRKY9EHwv-er_iDRLVHEmqbJtHg-sK,https://www.googleapis.com/drive/v2/files/13cnRKY9EHwv-er_iDRLVHEmqbJtHg-sK?alt=media&source=downloadUrl,2021-02-15
44,Lead_Scoring_02222021.csv,1BJSBPDBXVjG9erTxvKawXNShavBSBRTs,https://www.googleapis.com/drive/v2/files/1BJSBPDBXVjG9erTxvKawXNShavBSBRTs?alt=media&source=downloadUrl,2021-02-22
43,Lead_Scoring_03012021.csv,12-G2Gw1S_pLViXnZZzNYAf1Zt2g6_RKB,https://www.googleapis.com/drive/v2/files/12-G2Gw1S_pLViXnZZzNYAf1Zt2g6_RKB?alt=media&source=downloadUrl,2021-03-01
42,Lead_Scoring_03082021.csv,1-R_hr71LYC9KjTUkpG6-zj5Mnmvt7xRd,https://www.googleapis.com/drive/v2/files/1-R_hr71LYC9KjTUkpG6-zj5Mnmvt7xRd?alt=media&source=downloadUrl,2021-03-08
41,Lead_Scoring_03222021.csv,1HSVb7cTCGLGI86wBTR6Ibds1VvtsJ9Pj,https://www.googleapis.com/drive/v2/files/1HSVb7cTCGLGI86wBTR6Ibds1VvtsJ9Pj?alt=media&source=downloadUrl,2021-03-22
40,Lead_Scoring_04052021.csv,1nxuK0n7Cu4t8O2x-vfSE60vjkXCtpSDi,https://www.googleapis.com/drive/v2/files/1nxuK0n7Cu4t8O2x-vfSE60vjkXCtpSDi?alt=media&source=downloadUrl,2021-04-05
